table_name,date,o,h,l,c,v,a
1000001,20190102,2497.88,2500.28,2456.42,2465.29,10993.2,9759257.3952
1000001,20190103,2461.78,2488.48,2455.93,2464.36,12439.75,10692278.6816
1000001,20190104,2446.02,2515.32,2440.91,2514.87,16887.77,13929866.8544
1000001,20190107,2528.7,2536.98,2515.51,2533.09,17730.5,14551323.4432
1000001,20190108,2530.3,2531.35,2520.16,2526.46,15809.92,12337904.0256
1000001,20190109,2536.42,2574.41,2536.16,2544.35,19188.79,16081253.1712
1000001,20190110,2543.85,2551.83,2531.66,2535.1,15987.43,13269232.8448
1000001,20190111,2539.55,2554.79,2533.36,2553.83,14944.41,12237565.952
1000001,20190114,2553.33,2556.29,2533.01,2535.77,14482.55,11624341.504
1000001,20190115,2537.37,2571.5,2532.43,2570.35,16026.55,13737498.2144
1000001,20190116,2569.07,2574.24,2563.01,2570.42,14930.15,12687631.1552
1000001,20190117,2573.58,2582.56,2557.71,2559.64,16246.81,12754613.0432
1000001,20190118,2567.74,2598.88,2565.9,2596.01,19076.72,15127042.4576
1000001,20190121,2599.06,2618.98,2599.06,2610.51,16342.51,13991549.3376
1000001,20190122,2609.64,2609.64,2573.06,2579.7,15253.78,12299543.3472
1000001,20190123,2575.26,2589.51,2572.41,2581.0,13142.68,10510132.0192
1000001,20190124,2584.65,2597.29,2569.7,2591.69,15404.2,13157503.7952
1000001,20190125,2596.26,2617.0,2595.63,2601.72,15939.4,13541516.9024
1000001,20190128,2615.71,2630.32,2591.1,2596.98,14698.18,12746563.584
1000001,20190129,2592.36,2601.74,2559.98,2594.25,15558.11,12674904.8832
1000001,20190130,2584.75,2598.81,2575.41,2575.58,12050.26,10110392.7296
1000001,20190131,2581.33,2606.63,2571.58,2584.57,15430.39,12601324.3392
1000001,20190201,2597.78,2618.48,2590.55,2618.23,13198.69,11152262.7584
1000001,20190211,2613.17,2654.1,2613.17,2653.9,15489.89,13730719.3344
1000001,20190212,2654.03,2674.48,2648.83,2671.89,18410.12,15674153.3696
1000001,20190213,2674.52,2727.07,2666.52,2721.07,24379.4,20712531.5584
1000001,20190214,2715.54,2729.46,2707.49,2719.7,19703.73,17033083.2896
1000001,20190215,2712.79,2715.63,2679.78,2682.39,19600.43,16982325.6576
1000001,20190218,2699.82,2754.36,2699.82,2754.36,26043.6,22418407.424
1000001,20190219,2759.5,2780.78,2737.59,2755.65,28804.63,24712105.1648
1000001,20190220,2761.06,2767.41,2739.98,2761.22,24597.25,20544692.224
1000001,20190221,2759.94,2794.01,2744.98,2751.8,29865.0,25303338.1888
1000001,20190222,2749.46,2804.23,2736.33,2804.23,30148.14,26451887.7184
1000001,20190225,2838.39,2961.8,2838.39,2961.28,52865.86,46599143.424
1000001,20190226,2969.1,2995.68,2938.62,2941.52,56555.8,49239654.4
1000001,20190227,2939.93,2997.49,2924.64,2953.82,47497.65,41183762.8416
1000001,20190228,2950.05,2965.3,2930.2,2940.95,35020.66,29876394.3936
1000001,20190301,2954.4,2994.0,2930.83,2994.0,34578.62,30733765.8368
1000001,20190304,3015.94,3090.8,3006.94,3027.58,52564.94,48060366.848
1000001,20190305,3019.88,3054.96,3009.45,3054.25,42414.25,38276854.5792
1000001,20190306,3060.43,3103.83,3050.11,3102.1,55500.64,48547833.4464
1000001,20190307,3103.67,3129.94,3074.98,3106.42,58381.71,52572523.7248
1000001,20190308,3038.34,3075.05,2969.58,2969.86,57785.55,52559826.1248
1000001,20190311,2969.08,3028.25,2963.58,3026.99,42621.3,40436842.496
1000001,20190312,3049.08,3093.39,3029.9,3060.31,51117.32,48706663.2192
1000001,20190313,3062.33,3065.29,3013.93,3026.95,45321.46,45124730.88
1000001,20190314,3013.6,3041.16,2968.82,2990.69,37314.18,35624035.9424
1000001,20190315,3000.88,3048.12,2999.43,3021.75,34120.61,34472148.992
1000001,20190318,3027.8,3096.42,3009.51,3096.42,39779.72,39846959.5136
1000001,20190319,3099.9,3113.43,3076.36,3090.98,35090.89,35321679.0528
1000001,20190320,3084.17,3102.52,3053.45,3090.64,35855.75,34929541.12
1000001,20190321,3094.12,3125.02,3086.85,3101.46,41425.12,40393981.952
1000001,20190322,3100.73,3107.28,3064.88,3104.15,36484.83,35667833.6512
1000001,20190325,3058.8,3087.0,3041.95,3043.03,38027.88,37537565.9008
1000001,20190326,3057.56,3062.69,2988.49,2997.1,35349.8,34144482.0992
1000001,20190327,3012.26,3022.76,2987.77,3022.72,29139.04,29507597.1072
1000001,20190328,3009.8,3025.78,2991.78,2994.94,28810.64,28955456.3072
1000001,20190329,3000.68,3093.03,2999.99,3090.76,37508.3,38669962.4448
1000001,20190401,3111.66,3176.62,3111.66,3170.36,46612.47,48008593.408
1000001,20190402,3183.27,3193.27,3164.91,3176.82,44706.9,46266207.4368
1000001,20190403,3159.15,3219.26,3152.33,3216.3,43054.86,44262205.0304
1000001,20190404,3233.69,3254.14,3216.85,3246.57,46911.77,47515638.1696
1000001,20190408,3271.27,3288.45,3210.52,3244.81,50451.84,50643124.224
1000001,20190409,3240.39,3251.65,3215.7,3239.66,36417.0,38027296.768
1000001,20190410,3224.65,3264.78,3204.88,3241.93,38013.44,39566996.2752
1000001,20190411,3241.55,3254.13,3185.55,3189.96,35303.19,36068455.2192
1000001,20190412,3184.86,3199.28,3168.04,3188.63,28978.9,28890896.7936
1000001,20190415,3233.46,3253.98,3177.27,3177.79,34880.98,35566613.2992
1000001,20190416,3164.4,3253.6,3153.21,3253.6,35791.88,36016662.1184
1000001,20190417,3250.15,3275.33,3239.8,3263.12,35754.18,35450988.1344
1000001,20190418,3261.07,3271.39,3241.83,3250.2,32553.99,32350817.4848
1000001,20190419,3250.15,3274.33,3226.81,3270.8,31519.8,31513192.0384
1000001,20190422,3278.49,3279.49,3206.88,3215.04,35321.74,35915428.6592
1000001,20190423,3211.87,3231.58,3186.76,3198.59,32836.12,32487017.6768
1000001,20190424,3203.56,3210.65,3156.61,3201.61,27487.22,27841085.44
1000001,20190425,3190.59,3193.75,3123.03,3123.83,32587.91,30907609.9072
1000001,20190426,3108.16,3129.21,3085.8,3086.4,28087.39,27477640.8064
1000001,20190429,3090.63,3107.76,3050.03,3062.5,29211.49,28906327.2448
1000001,20190430,3052.62,3088.41,3052.62,3078.34,22230.25,22549813.6576
1000001,20190506,2984.73,2986.54,2876.47,2906.46,32697.23,31433650.9952
1000001,20190507,2914.29,2937.28,2889.07,2926.39,25328.18,24544421.4784
1000001,20190508,2873.14,2929.43,2866.7,2893.76,23153.05,21889261.568
1000001,20190509,2871.2,2888.86,2845.04,2850.95,20004.11,19744687.7184
1000001,20190510,2878.23,2941.45,2838.38,2939.21,28230.68,27417626.2144
1000001,20190513,2905.07,2921.41,2892.17,2903.71,21202.99,20262412.288
1000001,20190514,2872.83,2909.2,2872.83,2883.61,20834.54,20122330.7264
1000001,20190515,2902.64,2945.39,2902.64,2938.68,23051.97,22626277.7856
1000001,20190516,2933.5,2956.17,2929.06,2955.71,24838.57,22620307.456
1000001,20190517,2955.77,2956.78,2873.8,2882.3,26630.16,24787517.44
1000001,20190520,2874.8,2882.63,2838.45,2870.6,20947.24,19921077.8624
1000001,20190521,2867.71,2919.24,2862.5,2905.97,21138.7,20277777.2032
1000001,20190522,2905.52,2912.4,2879.64,2891.7,20002.69,19362937.2416
1000001,20190523,2880.84,2885.14,2846.96,2852.52,19734.03,19286948.2496
1000001,20190524,2847.84,2871.86,2846.02,2852.99,16720.55,16268931.8912
1000001,20190527,2851.28,2898.13,2833.04,2892.38,19672.09,19376871.8336
1000001,20190528,2890.27,2924.04,2887.08,2909.91,22331.06,22725381.3248
1000001,20190529,2894.83,2934.98,2890.66,2914.7,19895.88,20285503.8976
1000001,20190530,2903.42,2907.85,2881.38,2905.81,20575.88,19710554.9312
